parametri,Profitto Netto,totale
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 1.2000000000000004}",4880.999999999964,538
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.3000000000000007}",4873.800000000141,296
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.400000000000001}",4872.600000000082,281
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.9000000000000006}",4864.800000000123,559
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.5000000000000004}",4834.800000000098,584
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.800000000000001}",4833.5999999999885,281
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.200000000000001}",4831.799999999853,439
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.800000000000001}",4828.800000000085,335
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.3000000000000003}",4819.200000000041,496
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.3000000000000003}",4810.20000000009,531
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.500000000000001}",4786.200000000037,238
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.800000000000001}",4768.800000000021,339
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.1000000000000003}",4767.599999999811,526
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.700000000000001}",4751.399999999883,272
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.700000000000001}",4742.999999999822,373
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.9000000000000012}",4742.400000000122,535
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.8000000000000005}",4735.200000000153,563
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.8000000000000005}",4720.200000000001,345
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.9000000000000006}",4715.400000000025,329
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.400000000000001}",4712.3999999999605,258
"{""perditaMassima"": 2.3000000000000007, ""vincitaMassima"": 2.3000000000000007}",4702.2,292
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 1.8000000000000005}",4701.599999999978,312
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.2000000000000004}",4699.199999999819,510
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.500000000000001}",4698.600000000048,271
"{""perditaMassima"": 2.800000000000001, ""vincitaMassima"": 2.600000000000001}",4693.799999999923,197
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 1.3000000000000003}",4687.200000000051,424
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.200000000000001}",4681.199999999967,365
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 1.2000000000000004}",4666.199999999949,491
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.2000000000000004}",4656.5999999998885,540
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 2.400000000000001}",4651.800000000033,252
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.0000000000000002}",4636.79999999988,532
"{""perditaMassima"": 2.600000000000001, ""vincitaMassima"": 2.600000000000001}",4633.199999999989,213
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 1.3000000000000003}",4628.999999999976,531
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 1.2000000000000004}",4625.399999999794,552
"{""perditaMassima"": 2.700000000000001, ""vincitaMassima"": 2.600000000000001}",4587.000000000004,215
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 1.3000000000000003}",4573.200000000192,544
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.7000000000000004}",4552.200000000033,561
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.8000000000000005}",4552.199999999933,552
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.800000000000001}",4539.600000000101,237
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.7000000000000004}",4520.999999999907,369
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 1.1000000000000003}",4506.600000000004,540
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 2.700000000000001}",4503.599999999935,238
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 1.9000000000000006}",4502.99999999998,304
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.200000000000001}",4482.599999999928,416
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.6000000000000003}",4477.799999999841,562
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.000000000000001}",4465.80000000005,278
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 1.3000000000000003}",4464.000000000231,519
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.6000000000000003}",4447.200000000064,570
